Query,Assessment_url
Need to assess candidates for a software engineering role with strong problem-solving abilities.,https://www.shl.com/solutions/products/verify-calculation/
Need to assess candidates for a software engineering role with strong problem-solving abilities.,https://www.shl.com/solutions/products/verify-critical-thinking/
Need to assess candidates for a software engineering role with strong problem-solving abilities.,https://www.shl.com/solutions/products/verify-abstract/
Need to assess candidates for a software engineering role with strong problem-solving abilities.,https://www.shl.com/solutions/products/verify-inductive/
Need to assess candidates for a software engineering role with strong problem-solving abilities.,https://www.shl.com/solutions/products/verify-technical/
Hiring for a project manager who needs to work with cross-functional teams and stakeholders.,https://www.shl.com/solutions/products/mfs/
Hiring for a project manager who needs to work with cross-functional teams and stakeholders.,https://www.shl.com/solutions/products/verify-numerical/
Hiring for a project manager who needs to work with cross-functional teams and stakeholders.,https://www.shl.com/solutions/products/talent-q-elements/
Hiring for a project manager who needs to work with cross-functional teams and stakeholders.,https://www.shl.com/solutions/products/verify-critical-thinking/
Hiring for a project manager who needs to work with cross-functional teams and stakeholders.,https://www.shl.com/solutions/products/talent-q-dimensions/
Hiring for a project manager who needs to work with cross-functional teams and stakeholders.,https://www.shl.com/solutions/products/verify-calculation/
Hiring for a project manager who needs to work with cross-functional teams and stakeholders.,https://www.shl.com/solutions/products/verify-coding/
Hiring for a project manager who needs to work with cross-functional teams and stakeholders.,https://www.shl.com/solutions/products/verify-inductive/
Hiring for a project manager who needs to work with cross-functional teams and stakeholders.,https://www.shl.com/solutions/products/verify-spatial/
Hiring for a project manager who needs to work with cross-functional teams and stakeholders.,https://www.shl.com/solutions/products/verify-java/
Looking for assessments to evaluate technical skills for a DevOps engineer position.,https://www.shl.com/solutions/products/verify-technical/
Looking for assessments to evaluate technical skills for a DevOps engineer position.,https://www.shl.com/solutions/products/verify-javascript/
Looking for assessments to evaluate technical skills for a DevOps engineer position.,https://www.shl.com/solutions/products/verify-coding/
Looking for assessments to evaluate technical skills for a DevOps engineer position.,https://www.shl.com/solutions/products/verify-java/
Looking for assessments to evaluate technical skills for a DevOps engineer position.,https://www.shl.com/solutions/products/verify-python/
Looking for assessments to evaluate technical skills for a DevOps engineer position.,https://www.shl.com/solutions/products/verify-numerical/
Looking for assessments to evaluate technical skills for a DevOps engineer position.,https://www.shl.com/solutions/products/verify-sql/
Looking for assessments to evaluate technical skills for a DevOps engineer position.,https://www.shl.com/solutions/products/verify-abstract/
Looking for assessments to evaluate technical skills for a DevOps engineer position.,https://www.shl.com/solutions/products/verify-calculation/
Looking for assessments to evaluate technical skills for a DevOps engineer position.,https://www.shl.com/solutions/products/verify-verbal/
Need personality and behavioral assessments for a sales role.,https://www.shl.com/solutions/products/verify-sales/
Need personality and behavioral assessments for a sales role.,https://www.shl.com/solutions/products/verify-business-judgment/
Need personality and behavioral assessments for a sales role.,https://www.shl.com/solutions/products/talent-q-dimensions/
Need personality and behavioral assessments for a sales role.,https://www.shl.com/solutions/products/verify-verbal/
Need personality and behavioral assessments for a sales role.,https://www.shl.com/solutions/products/verify-customer-service/
Need personality and behavioral assessments for a sales role.,https://www.shl.com/solutions/products/verify-abstract/
Need personality and behavioral assessments for a sales role.,https://www.shl.com/solutions/products/talent-q-elements/
Need personality and behavioral assessments for a sales role.,https://www.shl.com/solutions/products/verify-checking/
Need personality and behavioral assessments for a sales role.,https://www.shl.com/solutions/products/opq32r/
Need personality and behavioral assessments for a sales role.,https://www.shl.com/solutions/products/mfs/
Hiring for a financial analyst requiring numerical reasoning and analytical skills.,https://www.shl.com/solutions/products/verify-numerical/
Hiring for a financial analyst requiring numerical reasoning and analytical skills.,https://www.shl.com/solutions/products/verify-calculation/
Hiring for a financial analyst requiring numerical reasoning and analytical skills.,https://www.shl.com/solutions/products/verify-critical-thinking/
Hiring for a financial analyst requiring numerical reasoning and analytical skills.,https://www.shl.com/solutions/products/verify-inductive/
Hiring for a financial analyst requiring numerical reasoning and analytical skills.,https://www.shl.com/solutions/products/verify-abstract/
Hiring for a financial analyst requiring numerical reasoning and analytical skills.,https://www.shl.com/solutions/products/verify-g-plus/
Hiring for a financial analyst requiring numerical reasoning and analytical skills.,https://www.shl.com/solutions/products/verify-mechanical/
Hiring for a financial analyst requiring numerical reasoning and analytical skills.,https://www.shl.com/solutions/products/verify-sql/
Hiring for a financial analyst requiring numerical reasoning and analytical skills.,https://www.shl.com/solutions/products/verify-deductive/
Hiring for a financial analyst requiring numerical reasoning and analytical skills.,https://www.shl.com/solutions/products/verify-technical/
Looking for comprehensive assessments for a senior developer role.,https://www.shl.com/solutions/products/verify-javascript/
Looking for comprehensive assessments for a senior developer role.,https://www.shl.com/solutions/products/verify-java/
Looking for comprehensive assessments for a senior developer role.,https://www.shl.com/solutions/products/verify-numerical/
Looking for comprehensive assessments for a senior developer role.,https://www.shl.com/solutions/products/verify-coding/
Looking for comprehensive assessments for a senior developer role.,https://www.shl.com/solutions/products/verify-python/
Looking for comprehensive assessments for a senior developer role.,https://www.shl.com/solutions/products/verify-error-checking/
Looking for comprehensive assessments for a senior developer role.,https://www.shl.com/solutions/products/verify-cognitive-ability/
Looking for comprehensive assessments for a senior developer role.,https://www.shl.com/solutions/products/verify-calculation/
Looking for comprehensive assessments for a senior developer role.,https://www.shl.com/solutions/products/verify-abstract/
Looking for comprehensive assessments for a senior developer role.,https://www.shl.com/solutions/products/verify-verbal/
